Stage,Experiment,Beaker,BeakerID,Population,MatePair,Treatment,Urban,Photo_Label,PhotoID,Horizontal(mm),,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0035,37,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0036,38,0.095,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0037,39,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0040,42,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0041,43,0.091,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0043,45,0.095,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0045,47,0.096,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0046,49,0.094,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0049,52,0.092,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0050,53,0.091,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0052,56,0.091,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0053,57,0.091,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0053,58,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0053,59,0.094,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0054,60,0.087,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0055,61,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0056,62,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0057,63,0.097,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0058,64,0.094,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0059,65,0.092,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0060,66,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0061,67,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0062,68,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0063,69,0.092,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0064,70,0.094,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0065,71,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0066,72,0.091,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0067,73,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0069,75,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0070,76,0.092,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0071,77,0.095,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0072,78,0.097,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0073,80,0.096,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0075,82,0.097,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0076,84,0.095,,,,,,,,,,,,,,,,,,
